benchmark,profile,candidate_name,family,valid,duplicate,admitted,not_admitted,scored,skip_reason,proxy_cost,approx_delta,is_selected,scored_pool_selectable,selected_via_fallback,placement_hash,source_stage,generated,region_id,region_signature,moved_macro_ids,move_type,legalization_status,legalization_failure_reason,pre_legalization_approx_delta,post_legalization_approx_delta,legalization_displacement_max,legalization_displacement_mean,m4c_rank_score,m4c_rank_bucket,m4c_rank_reason,family_rank,family_normalized_approx_delta,m4d_rank_score,m4d_family_normalized_approx_delta,m4d_cross_family_rank,m4d_rank_reason
ibm01,m4d-default,original_neighborhood_m54_down_s,original_neighborhood,True,False,True,False,True,scored,1.1407750844955444,-3.119997024536133,False,True,False,a93e556b,1,True,,,,down_s,,,,,,,,,,,,0.15584415584415584,0.6801576595977712,40,family=original_neighborhood rank=13/78 percentile=0.155844
ibm01,m4d-default,original_neighborhood_m54_left_s,original_neighborhood,True,False,True,False,True,scored,1.140775442123413,-2.753997802734375,False,True,False,d24d9d81,1,True,,,,left_s,,,,,,,,,,,,0.3116883116883117,0.6848228414083724,78,family=original_neighborhood rank=25/78 percentile=0.311688
ibm01,m4d-default,original_refinement_m54_scale2x,original_refinement,True,False,True,False,True,scored,1.1407784223556519,-8.177133560180664,False,True,False,3c23d89c,2,True,,,,,,,,,,,,,,,,0.12751677852348994,0.6628232186122547,33,family=original_refinement rank=20/150 percentile=0.127517
ibm01,m4d-default,original_neighborhood_m117_down_s,original_neighborhood,True,False,True,False,True,scored,1.140790581703186,-3.6400089263916016,False,True,False,0d539cc1,1,True,,,,down_s,,,,,,,,,,,,0.1038961038961039,0.6735293666361368,27,family=original_neighborhood rank=9/78 percentile=0.103896
ibm01,m4d-default,original_neighborhood_m150_right_s,original_neighborhood,True,False,True,False,True,scored,1.1407926082611084,-3.030000686645508,False,True,False,d96f2020,1,True,,,,right_s,,,,,,,,,,,,0.19480519480519481,0.6813047912131915,50,family=original_neighborhood rank=16/78 percentile=0.194805
ibm01,m4d-default,original_neighborhood_m173_left_s,original_neighborhood,True,False,True,False,True,scored,1.140792727470398,-3.0300064086914062,False,True,False,0b7693bf,1,True,,,,left_s,,,,,,,,,,,,0.16883116883116883,0.6813047182775599,44,family=original_neighborhood rank=14/78 percentile=0.168831
ibm01,m4d-default,original_line_search_m22_scale2x,original_line_search,True,False,True,False,True,scored,1.1407935619354248,-5.9669952392578125,False,True,False,d5263724,3,True,,,,,,,,,,,,,,,,0.3684210526315789,0.5333333332856637,92,family=original_line_search rank=8/20 percentile=0.368421
ibm01,m4d-default,original_neighborhood_m117_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.14080011844635,-4.548145294189453,False,True,False,63f595fe,1,True,,,,toward_centroid,,,,,,,,,,,,0.025974025974025976,0.6619538740879841,8,family=original_neighborhood rank=3/78 percentile=0.025974
ibm01,m4d-default,original_neighborhood_m190_down_s,original_neighborhood,True,False,True,False,True,scored,1.1409589052200317,-2.764801025390625,False,True,False,659971ca,1,True,,,,down_s,,,,,,,,,,,,0.2987012987012987,0.6846851389357176,75,family=original_neighborhood rank=24/78 percentile=0.298701
ibm01,m4d-default,original_neighborhood_m5_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.1423289775848389,-2.914133071899414,False,True,False,76dcce46,1,True,,,,toward_centroid,,,,,,,,,,,,0.24675324675324675,0.6827816891314172,62,family=original_neighborhood rank=20/78 percentile=0.246753
ibm01,m4d-default,original_refinement_m243_scale2x,original_refinement,True,False,True,False,True,scored,1.1430327892303467,-22.455503940582275,False,True,False,de4f9e4c,2,True,,,,,,,,,,,,,,,,0.053691275167785234,0.48375535042749224,16,family=original_refinement rank=9/150 percentile=0.053691
ibm01,m4d-default,original_refinement_combo2_m173_m243,original_refinement,True,False,True,False,True,scored,1.172194242477417,-60.59062957763672,False,True,False,91f374f7,2,True,,,"[243, 173]",,,,,,,,,,,,,0.006711409395973154,0.0054951940612904,4,family=original_refinement rank=2/150 percentile=0.006711
ibm01,m4d-default,original_refinement_combo2_m117_m243,original_refinement,True,False,True,False,True,scored,1.172433614730835,-61.02880096435547,False,True,False,58369dac,2,True,,,"[243, 117]",,,,,,,,,,,,,0.0,0.0,1,family=original_refinement rank=1/150 percentile=0.000000
